dsd: 609 train / 12 val
step 75800 l1 0.2938 val 0.2949 0.09s/it
step 76000 l1 0.2811 val 0.2926 0.09s/it
step 76200 l1 0.2787 val 0.2908 0.09s/it
step 76400 l1 0.2895 val 0.2970 0.09s/it
step 76600 l1 0.2722 val 0.2879 0.09s/it
step 76800 l1 0.2913 val 0.3185 0.09s/it
step 77000 l1 0.2812 val 0.3707 0.09s/it
step 77200 l1 0.2846 val 0.3166 0.09s/it
step 77400 l1 0.2854 val 0.3209 0.09s/it
step 77600 l1 0.2803 val 0.3250 0.09s/it
step 77800 l1 0.2743 val 0.3472 0.09s/it
step 78000 l1 0.2922 val 0.2910 0.09s/it
step 78200 l1 0.2893 val 0.3492 0.09s/it
step 78400 l1 0.2890 val 0.3208 0.09s/it
step 78600 l1 0.2813 val 0.3407 0.09s/it
step 78800 l1 0.2721 val 0.2874 0.09s/it
step 79000 l1 0.2823 val 0.2940 0.09s/it
step 79200 l1 0.2867 val 0.2907 0.09s/it
step 79400 l1 0.2975 val 0.3019 0.09s/it
step 79600 l1 0.2907 val 0.3196 0.09s/it
step 79800 l1 0.2914 val 0.3262 0.09s/it
step 80000 l1 0.2812 val 0.3133 0.09s/it
step 80200 l1 0.2901 val 0.3200 0.09s/it
step 80400 l1 0.2827 val 0.3196 0.09s/it
step 80600 l1 0.2906 val 0.3678 0.09s/it
step 80800 l1 0.2893 val 0.3485 0.09s/it
step 81000 l1 0.2768 val 0.2935 0.09s/it
step 81200 l1 0.2910 val 0.2839 0.09s/it
step 81400 l1 0.2748 val 0.2908 0.09s/it
step 81600 l1 0.2798 val 0.3225 0.09s/it
step 81800 l1 0.2800 val 0.3193 0.09s/it
step 82000 l1 0.2775 val 0.3177 0.09s/it
step 82200 l1 0.2890 val 0.2915 0.09s/it
step 82400 l1 0.2786 val 0.3204 0.09s/it
step 82600 l1 0.2759 val 0.2940 0.09s/it
step 82800 l1 0.2836 val 0.3212 0.09s/it
step 83000 l1 0.2917 val 0.3188 0.09s/it
step 83200 l1 0.2818 val 0.3670 0.09s/it
step 83400 l1 0.2935 val 0.3155 0.09s/it
step 83600 l1 0.2759 val 0.2969 0.09s/it
step 83800 l1 0.2828 val 0.3127 0.09s/it
step 84000 l1 0.2753 val 0.3360 0.09s/it
step 84200 l1 0.2825 val 0.3217 0.09s/it
step 84400 l1 0.2828 val 0.3446 0.09s/it
step 84600 l1 0.2729 val 0.3251 0.09s/it
step 84800 l1 0.2820 val 0.3219 0.09s/it
step 85000 l1 0.2819 val 0.4272 0.09s/it
step 85200 l1 0.2819 val 0.3450 0.09s/it
step 85400 l1 0.2752 val 0.3744 0.09s/it
step 85600 l1 0.2807 val 0.3072 0.09s/it
step 85800 l1 0.2815 val 0.3404 0.09s/it
step 86000 l1 0.2800 val 0.3749 0.09s/it
step 86200 l1 0.2786 val 0.3316 0.09s/it
step 86400 l1 0.2795 val 0.3174 0.09s/it
step 86600 l1 0.2846 val 0.3166 0.09s/it
step 86800 l1 0.2769 val 0.2900 0.09s/it
step 87000 l1 0.2805 val 0.2858 0.09s/it
step 87200 l1 0.2842 val 0.3400 0.09s/it
step 87400 l1 0.2812 val 0.3415 0.09s/it
