dsx: 609 train / 12 val
step 27000 mel 0.3563 ema 0.3671 1.22s/it
step 27100 mel 0.3613 ema 0.3664 1.22s/it
step 27200 mel 0.3676 ema 0.3660 1.22s/it
step 27300 mel 0.3724 ema 0.3668 1.22s/it
step 27400 mel 0.3781 ema 0.3658 1.22s/it
step 27500 mel 0.3815 ema 0.3642 1.22s/it
step 27600 mel 0.3652 ema 0.3651 1.22s/it
step 27700 mel 0.3598 ema 0.3651 1.22s/it
step 27800 mel 0.3667 ema 0.3673 1.22s/it
step 27900 mel 0.3628 ema 0.3661 1.22s/it
